file,session_id,first_timestamp,last_timestamp,line_count,max_line_chars,session_meta_chars,turn_context_count,turn_context_chars_total,response_item_count,response_item_chars_total,function_output_chars_total,top_events,tools,keywords
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,019f0d71-8d49-7fe2-82f1-f794eefbb000,2026-06-28T08:56:19.086Z,2026-06-28T09:18:24.987Z,341,50914,209110,5,8055,235,756397,429910,response_item:235; event_msg:95; session_meta:6; turn_context:5,exec_command:70; function_call_output:70; apply_patch:8; call_m1zzE35LVf7EWxPQXH0Q6684:1; call_x1OT6CxgZZ58KWrmoLegkQxt:1; call_2hUiBGC71765BHi4JL0nGeC2:1; call_XtAEfnZeI3wHFU1ZeUrzzey9:1; call_55vVG224cVjhRArwQNOhuG48:1; call_fvQXFOrrCSa715ELQfxQTMRj:1; call_rlH1nb7rWw3PMdPE2NSnM97v:1; call_HjHRSxp7eWEa438omLUjJp12:1; call_NR1tqq42DF3qZm0jV1qMqgzY:1; call_kjaUsTpxU6XyYxliSBJIZ6jw:1; call_ULiUeJgJBpoCk5pOrEoZDtTO:1; call_EfkRF2sBbjAyUJzW9ZyuFC9C:1,orchestrator:106; agent_log:88; full_specs:70; handoff:57; renders:50; knowledge_repo_01:3; spawn_agent:1
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,019f0d87-bb4f-71d3-84d8-f6903ec273b8,2026-06-28T09:20:43.577Z,2026-06-28T09:35:51.245Z,370,393239,69564,2,3222,253,2404726,2094202,response_item:253; event_msg:113; session_meta:2; turn_context:2,function_call_output:69; exec_command:64; apply_patch:15; view_image:5; call_eIOPuw7eOssuJoIuf3jyTQ0C:1; call_XtCBo7dnrjW8bB0A5DflBJ9q:1; call_n9rpkNVV5XUGmWCRPMAGftWX:1; call_PcrVittALJ0HyqPi5dOO4s9y:1; call_F5P8OWaRgRvucdQksHYb7NiG:1; call_gwR86HAKnQn7yMWWchR0Lmr6:1; call_RrqpTsc3wnFXGQzrXNBHvhL5:1; call_FW51Vlv2bcIh7JL7PdWmPjTe:1; call_DZHFN5ApDZkijNiu9xkHRxT5:1; call_FKFHBDMHykr4et4UIcSxugyL:1; call_lN31zf0UFPkYklz1w3gXTwE0:1,knowledge_repo_01:138; renders:70; agent_log:40; view_image:5; handoff:4; orchestrator:3; full_specs:1
rollout-2026-06-28T04-56-40-019f0da8-d342-7ee2-b3c9-8e8394927c83.jsonl,019f0da8-d342-7ee2-b3c9-8e8394927c83,2026-06-28T09:57:14.050Z,2026-06-28T19:01:38.131Z,169,50914,209110,6,9666,105,318545,153316,response_item:105; event_msg:52; session_meta:6; turn_context:6,exec_command:30; function_call_output:30; apply_patch:2; call_FOKpHBJBM9jwG9ckIDWWQTLF:1; call_zNqLuaqQGUFWtl879xaGnohQ:1; call_v2ypcSNyXEUezTslXCC9ZK08:1; call_Owa2Ln18JJgGMtluvVO1YqAx:1; call_gtsOecKYmlKMGDeMzqG8leg9:1; call_FQCrGrBNUhTay5GpbmOIbNne:1; call_itzex7hOys1Ntho6NOa2sKyM:1; call_P1WP2pujWpdwT4lromG68giv:1; call_BToM8tqz65BelZsXYFG29glr:1; call_HvFyuSUW33kaXttFRM81p45y:1; call_Bm0DXaYUyghEcqt5uZJGCU9F:1; call_2r6WAWU0s6wr0c1sG3YadVkt:1,orchestrator:62; agent_log:42; knowledge_repo_01:32; handoff:26; renders:24; full_specs:8; spawn_agent:2
rollout-2026-06-28T04-57-31-019f0da9-9b46-7601-9c9c-8e01f1b0de23.jsonl,019f0da9-9b46-7601-9c9c-8e01f1b0de23,2026-06-28T09:57:52.675Z,2026-06-28T18:58:27.048Z,266,50914,209110,6,9666,174,485339,251637,response_item:174; event_msg:80; session_meta:6; turn_context:6,exec_command:51; function_call_output:51; apply_patch:6; call_I2ehpgxV43IjqvT62Wzn7XoP:1; call_25itsGzAhm4wNIlJ97Mt2aJx:1; call_JTE7d4pRcYQjLkqyuRi93J2x:1; call_T71tq1jbLwzlmA6kbqKVUufk:1; call_fHRKNP3ZwLSfSkA9EhWrlkkr:1; call_OnxWM9XHVzk0tbZhLzkiStqx:1; call_Ayg4kVkV80dBVzsNdAy41r8R:1; call_JiTOJyC3voxlEzMdXMtVaGUA:1; call_Ei9RCdvYAz8AQE78oh2VOlas:1; call_Ged36Awnye7mXrhqlzNzptwV:1; call_EbNBaPA1qMpTj4hsAJlSMoV9:1; call_wVsr1xTO00uc0S0TPIJMgKDN:1,full_specs:49; orchestrator:44; handoff:38; agent_log:38; renders:25; knowledge_repo_01:11; spawn_agent:1
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,019f0fac-2c1d-74a0-ad8d-7323e42c5980,2026-06-28T19:19:35.286Z,2026-06-29T04:53:03.743Z,811,50909,278822,8,12888,559,983128,475281,response_item:559; event_msg:236; session_meta:8; turn_context:8,function_call_output:172; exec_command:101; wait_agent:31; spawn_agent:14; close_agent:12; write_stdin:9; apply_patch:9; send_input:5; call_P8JkJofCNOhzGS3wEDfsLLRT:1; call_ziWrmCXOlkU7vL61LYZ0rizw:1; call_qcfh6F6eraCN6NBxuPIVz0QC:1; call_v1TP1qU3zOG1ge21c7bO1lQw:1; call_2ZB8K5grIyccPZkbYJaD9CUL:1; call_CuPqyvBDk6QjrbZPX41kDE3I:1; call_owV6sHo88pQeODUgSaS7jMfb:1,knowledge_repo_01:207; agent_log:150; renders:86; handoff:34; wait_agent:32; orchestrator:25; spawn_agent:16; close_agent:13; full_specs:3
rollout-2026-06-28T14-24-17-019f0fb0-7d2e-7250-916a-54f7a1b39eea.jsonl,019f0fac-2c1d-74a0-ad8d-7323e42c5980,2026-06-28T19:24:18.215Z,2026-06-28T19:27:56.578Z,71,49878,15695,1,655,49,165468,48557,response_item:49; event_msg:20; session_meta:1; turn_context:1,exec_command:12; function_call_output:12; call_X6JnvtoROLIRQnHD5lrbX4ht:1; call_IPUdTeyVCFOpsCDAjxgAnWln:1; call_hYvo4CFRaqYfdOOZxgw9tnmb:1; call_FmTKPd273M4uvn2ufOZnow9I:1; call_x3aowTJy60Ueg57g7sKSlNRr:1; call_s41Gf3cGqFpRl3tWsdR9fECI:1; call_xmRkRAQwwXX39Vsht8JHMZoR:1; call_fAlldBOtCrTlPcdQJTJupnUe:1; apply_patch:1; call_EWeTcf4Hai8gnHADW0W0gSIO:1; call_SOPYkUDinHzFUvbQzyezuUiU:1; call_uhzhI8Az43zOD7KDIKYVlAW8:1; call_ZoJAfrhCDxjih4beJ7cxsgxn:1,agent_log:24; knowledge_repo_01:23; renders:6; handoff:5; orchestrator:4; full_specs:1
rollout-2026-06-28T14-28-51-019f0fb4-a9c9-7193-b20d-e841958bb856.jsonl,019f0fac-2c1d-74a0-ad8d-7323e42c5980,2026-06-28T19:28:51.854Z,2026-06-28T19:31:05.115Z,63,49878,15691,1,655,43,170350,71175,response_item:43; event_msg:18; session_meta:1; turn_context:1,exec_command:13; function_call_output:13; call_nT1fbjSbyS44XGfGFUIptKWw:1; call_6epIaIpUDozia4cmRDOiHCP8:1; call_9bqNkGIdlpBQ9igigWbrwiVK:1; call_b0HWFPjzr5wYnDHDehj8XcBA:1; call_qu8lzeUjqlVp2CGyOJ0Elk7x:1; call_Idd4KNAyyopzc6pYZr5XVM3d:1; call_J3RDf37pzpV2OTH5JMbt993e:1; apply_patch:1; call_D5z4fg2l5cbgVma5FY33JCWQ:1; call_LqkgvMxqQjH2sCYDoD2NyruK:1; call_dgXUt9GKmUHHh8CJcaRRlXv6:1; call_GLtmeU7Ppw3JGLjNWUV4TGEc:1; call_xBeVw24YCmjJXsetpphH2IKD:1,knowledge_repo_01:24; agent_log:22; renders:8; handoff:5; orchestrator:4; full_specs:2; spawn_agent:1
rollout-2026-06-28T14-31-36-019f0fb7-31d0-7613-a06a-3cdcc6b31888.jsonl,019f0fac-2c1d-74a0-ad8d-7323e42c5980,2026-06-28T19:31:37.664Z,2026-06-28T19:33:51.906Z,78,49878,15695,2,1310,52,202489,100618,response_item:52; event_msg:23; turn_context:2; session_meta:1,exec_command:16; function_call_output:16; call_RVWDe7iyevNpehoSKnf4NMYn:1; call_Sp7bFlisjZXc44TNP7sxP2Fi:1; call_OPlPUdki6ijqBvgySi9286Eq:1; call_1oSMSI4TqCcLnzWaNNMifDPD:1; call_eg83CRsKBP8JtEDeDhz4teFZ:1; call_05lUfHdot6vPASwjapme6Tpv:1; call_XcO18ipvBvr5UgO6dGe6GSCT:1; call_9QPidhqihtB05zqmwEMUuxpN:1; call_NZVWsYji0ARx2TFUACiEnzpj:1; call_48wH79fvUXwH2lvDyWANpY97:1; apply_patch:1; call_Dv78J4JDJyRQcEnpiT8AOHEl:1; call_x21NlQuKg5B4o6r2UAJKYGYV:1,knowledge_repo_01:28; agent_log:23; renders:7; handoff:4; orchestrator:4; full_specs:2; spawn_agent:1
rollout-2026-06-28T14-34-39-019f0fb9-f9f4-7f62-a952-d390733ca346.jsonl,019f0fac-2c1d-74a0-ad8d-7323e42c5980,2026-06-28T19:34:39.684Z,2026-06-28T19:36:21.324Z,81,49878,15693,1,655,62,305900,204081,response_item:62; event_msg:17; session_meta:1; turn_context:1,exec_command:23; function_call_output:23; call_bilxMjQpRoJd9ne4I9ae41wr:1; call_ws9ZmW8wLAnnENZLSTWS7zAH:1; call_vNLroLzgrflK4avnFzXuku6t:1; call_wOtbDM5FIgQONhtl6DUOc1TM:1; call_rPAst3u8m7va3ywdLQxs8p64:1; call_Fhs6DB0TPka4q6xaCmOzOmgy:1; call_L7y4vxabGGiYijo02riIrgui:1; call_tzSy1rBziQfSQy5NhsxhkrGo:1; call_Zmz8si7bh1aTEgo3K3asTSrt:1; call_s4AZTxBuEqpBy8BRYq7OrF0i:1; call_BoMnkhONc3z8Anuncckixwio:1; call_4eAeEdnoCqcp67hOsBFtXrfJ:1; call_L6Y0Pm3DGZwkIQpmvR9unlo2:1,knowledge_repo_01:26; renders:16; agent_log:15; handoff:9; orchestrator:3; full_specs:2; spawn_agent:1
rollout-2026-06-28T14-37-06-019f0fbc-37dd-7110-8b75-838c6381a0e0.jsonl,019f0fac-2c1d-74a0-ad8d-7323e42c5980,2026-06-28T19:37:07.114Z,2026-06-28T19:43:34.790Z,222,436615,15695,1,655,167,1210053,1026076,response_item:167; event_msg:53; session_meta:1; turn_context:1,function_call_output:59; exec_command:57; view_image:2; call_u8sAzH59c6qPyseKRKUG1xQE:1; call_3cLAkve0NXdfgbXyVvVMZ8Uv:1; call_0u8kZIXQnl1MSIS4SpIHavV3:1; call_6Xa9fZlMSxMmsdUzkTIUrNIe:1; call_KRD2bVHzi3d4viSFydzn7mwG:1; call_djMEzN3Hqh93umJIbDFFvCF9:1; call_DIqcQ68Wa29N2GbpRSOQTx7d:1; call_S1qs0InqZKVpTzNUbkrBgJvO:1; call_3c6Sgxh3BOmNxsrAGP2Zlyx8:1; call_cy2VYvX86x8EunNBTUbqJh5B:1; call_KtQ9tFO22twoA7JJDSpxMZbL:1; call_qAsQykCCP5ObxZsXdCVWOKel:1,knowledge_repo_01:80; renders:51; agent_log:19; handoff:6; orchestrator:2; view_image:2; full_specs:1
