file,timestamp,line,event_type,total_tokens,input_tokens,cached_input_tokens,output_tokens,uncached_input_tokens,delta_total_tokens,delta_cached_input_tokens,delta_uncached_input_tokens
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:53:02.991Z,808,event_msg,17786773,17744669,16806656,42104,938013,17592462,16612736,937785
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:53:03.708Z,810,event_msg,17786773,17744669,16806656,42104,938013,17592233,16612736,937488
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:52:27.536Z,802,event_msg,17592233,17550224,16612736,42009,937488,17398110,16419328,936851
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:52:20.244Z,798,event_msg,17397922,17356076,16418816,41846,937260,17203902,16226432,935709
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:50:14.617Z,793,event_msg,17203799,17162031,16225408,41768,936623,17009908,16033536,935619
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:48:09.725Z,788,event_msg,17009779,16968096,16033024,41683,935072,16817044,16028032,747676
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T04:37:44.888Z,776,event_msg,16815888,16775220,15841152,40668,934068,16624055,15649792,933845
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:53:15.577Z,765,event_msg,16623153,16582832,15836160,40321,746672,16431595,15645824,745587
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:53:04.876Z,760,event_msg,16431320,16391249,15644800,40071,746449,16239944,15455488,745235
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:50:57.199Z,755,event_msg,16239762,16199828,15454464,39934,745364,16049906,15265664,744351
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:50:32.923Z,752,event_msg,16048386,16009302,15265152,39084,744150,15858647,15260160,560089
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:50:26.659Z,749,event_msg,15858530,15819489,15076352,39041,743137,15669128,14887552,742736
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:21:27.581Z,735,event_msg,15668791,15630436,15071360,38355,559076,15479615,14883584,557796
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:21:20.375Z,730,event_msg,15479389,15441235,14882560,38154,558675,15290381,14695296,557812
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:19:12.472Z,724,event_msg,15290213,15252179,14694784,38034,557395,15102666,14508544,556128
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:18:47.483Z,719,event_msg,15101205,15064052,14507520,37153,556532,14913772,14322304,555070
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:18:41.236Z,716,event_msg,14913658,14876545,14321280,37113,555265,14728191,14136576,554594
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:18:23.674Z,708,event_msg,14726225,14689867,14136064,36358,553803,14540903,13951360,553331
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:16:33.562Z,703,event_msg,14540758,14504492,13951360,36266,553132,14355607,13767680,551768
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:16:24.006Z,700,event_msg,14355436,14319316,13766656,36120,552660,14170438,13584512,550820
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:14:18.085Z,694,event_msg,14170285,14134272,13582976,36013,551296,13987386,13401856,549839
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:13:51.188Z,688,event_msg,13985287,13950288,13400832,34999,549456,13803630,13220224,548446
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,2026-06-29T03:13:40.308Z,681,event_msg,13802388,13767711,13219712,34677,547999,13620844,13041152,545685
