file,checkpoints,final_total_tokens,final_input_tokens,final_cached_input_tokens,final_uncached_input_tokens,final_output_tokens,max_delta_total_tokens
rollout-2026-06-28T14-19-34-019f0fac-2c1d-74a0-ad8d-7323e42c5980.jsonl,254,194540,194445,193920,525,95,17592462
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,70,166462,165964,164736,1228,498,3743763
rollout-2026-06-28T22-19-12-019f1163-4821-7a30-92ae-5df9014c98d6.jsonl,84,128269,127457,119680,7777,812,3533672
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,112,126860,126300,124288,2012,560,5485235
rollout-2026-06-28T04-57-31-019f0da9-9b46-7601-9c9c-8e01f1b0de23.jsonl,58,108989,108387,105856,2531,602,2017662
rollout-2026-06-28T15-39-29-019f0ff5-4704-7c31-aaa7-6e390f386e22.jsonl,28,103692,102985,101760,1225,707,773764
rollout-2026-06-28T22-02-07-019f1153-a784-7fd3-9142-cfecf581597b.jsonl,80,93501,92498,90496,2002,1003,2954694
rollout-2026-06-28T14-34-39-019f0fb9-f9f4-7f62-a952-d390733ca346.jsonl,14,88345,88100,22912,65188,245,312548
rollout-2026-06-28T14-37-06-019f0fbc-37dd-7110-8b75-838c6381a0e0.jsonl,60,84318,83246,80768,2478,1072,1982445
rollout-2026-06-28T22-50-56-019f1180-5896-71a1-bf1f-7672ce088270.jsonl,36,76187,75317,67456,7861,870,869798
rollout-2026-06-28T04-56-40-019f0da8-d342-7ee2-b3c9-8e8394927c83.jsonl,32,76140,75615,74624,991,525,758331
rollout-2026-06-28T22-14-17-019f115e-ca21-7d23-a956-1ef2e498c622.jsonl,30,74012,73054,69504,3550,958,764478
rollout-2026-06-28T23-48-09-019f11b4-b788-7523-ac81-32655cdb3089.jsonl,42,70013,69260,67456,1804,753,1125287
rollout-2026-06-28T14-45-07-019f0fc3-8e67-7881-9ccd-256c5e88127c.jsonl,38,69608,68834,63360,5474,774,913694
rollout-2026-06-28T14-31-36-019f0fb7-31d0-7613-a06a-3cdcc6b31888.jsonl,16,52912,52711,22912,29799,201,299197
rollout-2026-06-28T21-58-37-019f1150-7292-7d62-bcbf-3eae9be578cf.jsonl,18,51368,50874,47488,3386,494,332194
rollout-2026-06-28T14-28-51-019f0fb4-a9c9-7193-b20d-e841958bb856.jsonl,14,46031,45402,43904,1498,629,219768
rollout-2026-06-28T21-54-48-019f114c-f32e-7c23-866e-7ace2f06ccd8.jsonl,20,45477,44953,41344,3609,524,326759
rollout-2026-06-28T14-24-17-019f0fb0-7d2e-7250-916a-54f7a1b39eea.jsonl,10,42862,42355,26496,15859,507,150479
