file,timestamp,line,event_type,total_tokens,input_tokens,cached_input_tokens,output_tokens,uncached_input_tokens,delta_total_tokens,delta_cached_input_tokens,delta_uncached_input_tokens
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:56:34.753Z,17,event_msg,23989,23555,4992,434,18563,,,
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:56:34.753Z,17,event_msg,23989,23555,4992,434,18563,0,0,0
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:56:48.476Z,27,event_msg,55304,54270,28416,1034,25854,31315,23424,7291
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:56:48.476Z,27,event_msg,31315,30715,23424,600,7291,-23989,-4992,-18563
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:57:02.573Z,37,event_msg,99245,97655,59008,1590,38647,67930,35584,31356
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:57:02.573Z,37,event_msg,43941,43385,30592,556,12793,-55304,-28416,-25854
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:57:26.389Z,41,event_msg,148995,146160,101888,2835,44272,105054,71296,31479
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:57:26.389Z,41,event_msg,49750,48505,42880,1245,5625,-99245,-59008,-38647
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:59:13.441Z,58,event_msg,203346,199976,106880,3370,93096,153596,64000,87471
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:59:13.441Z,58,event_msg,54351,53816,4992,535,48824,-148995,-101888,-44272
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:59:24.407Z,62,event_msg,260174,256297,160512,3877,95785,205823,155520,46961
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T08:59:24.407Z,62,event_msg,56828,56321,53632,507,2689,-203346,-106880,-93096
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:00:55.156Z,80,event_msg,317587,313192,214144,4395,99048,260759,160512,96359
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:00:55.156Z,80,event_msg,57413,56895,53632,518,3263,-260174,-160512,-95785
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:01:35.365Z,87,event_msg,386214,379674,270848,6540,108826,328801,217216,105563
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:01:35.365Z,87,event_msg,68627,66482,56704,2145,9778,-317587,-214144,-99048
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:02:55.212Z,103,event_msg,454687,447466,327552,7221,119914,386060,270848,110136
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:02:55.212Z,103,event_msg,68473,67792,56704,681,11088,-386214,-270848,-108826
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:03:59.908Z,110,event_msg,534891,524161,395008,10730,129153,466418,338304,118065
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:03:59.908Z,110,event_msg,80204,76695,67456,3509,9239,-454687,-327552,-119914
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:05:48.651Z,117,event_msg,621088,604442,471680,16646,132762,540884,404224,123523
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:05:48.651Z,117,event_msg,86197,80281,76672,5916,3609,-534891,-395008,-129153
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:00.934Z,127,event_msg,707820,690742,551936,17078,138806,621623,475264,135197
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:00.934Z,127,event_msg,86732,86300,80256,432,6044,-621088,-471680,-132762
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:11.627Z,134,event_msg,805646,788072,637824,17574,150248,718914,557568,144204
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:11.627Z,134,event_msg,97826,97330,85888,496,11442,-707820,-551936,-138806
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:26.742Z,146,event_msg,904189,885959,734976,18230,150983,806363,649088,139541
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:26.742Z,146,event_msg,98543,97887,97152,656,735,-805646,-637824,-150248
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:40.397Z,156,event_msg,1004826,986002,832640,18824,153362,906283,735488,152627
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:06:40.397Z,156,event_msg,100637,100043,97664,594,2379,-904189,-734976,-150983
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:07:02.599Z,160,event_msg,1110402,1090434,932352,19968,158082,1009765,834688,155703
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:07:02.599Z,160,event_msg,105576,104432,99712,1144,4720,-1004826,-832640,-153362
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:22.175Z,178,event_msg,1215102,1194444,999808,20658,194636,1109526,900096,189916
