churn,complaints_90d,outages_90d,tenure_months,contract_type,plan_type,autopay,monthly_charge
False,0,2,17,month-to-month,plus,no,67.75
False,2,0,6,month-to-month,plus,no,38.17
False,0,4,41,two-year,basic,no,63.41
False,0,0,61,one-year,basic,no,82.71
False,3,2,12,month-to-month,premium,yes,42.93
False,0,0,11,month-to-month,plus,yes,65.21
False,0,4,16,two-year,basic,yes,81.49
False,1,2,42,month-to-month,plus,no,67.87
False,0,0,28,one-year,plus,yes,71.13
False,1,1,4,one-year,basic,no,85.19
False,1,2,71,month-to-month,plus,yes,78.35
False,0,0,14,one-year,basic,yes,81.37
False,0,0,20,month-to-month,plus,no,75.65
False,1,0,24,month-to-month,basic,no,40.57
False,0,2,23,one-year,plus,yes,49.46
False,2,0,22,two-year,plus,yes,49.97
False,2,1,22,month-to-month,basic,yes,59.83
False,0,3,8,month-to-month,plus,no,52.76
False,1,1,26,one-year,basic,yes,77.43
False,0,3,15,month-to-month,basic,yes,44.72
False,0,1,18,month-to-month,plus,no,63.89
False,2,1,56,month-to-month,basic,yes,33.02
False,3,3,15,month-to-month,plus,yes,102.48
False,1,1,25,two-year,plus,no,62.28
False,0,0,68,one-year,basic,yes,54.88
False,1,3,50,one-year,plus,no,69.63
False,1,1,28,month-to-month,premium,no,66.08
False,0,1,11,one-year,basic,no,58.89
False,1,1,13,month-to-month,plus,yes,63.85
False,1,1,53,two-year,premium,yes,84.66
True,0,1,4,two-year,basic,yes,39.68
False,1,1,8,month-to-month,basic,yes,62.98
True,0,0,12,one-year,basic,yes,68.11
False,0,2,69,two-year,basic,yes,89.44
False,0,1,28,one-year,plus,yes,66.34
False,0,3,12,month-to-month,basic,yes,59.75
False,0,1,72,one-year,plus,no,89.6
False,2,5,11,one-year,premium,yes,92.84
True,0,3,17,month-to-month,plus,no,56.54
False,1,1,8,two-year,plus,yes,51.82
False,1,1,61,one-year,plus,no,57.77
False,1,0,13,one-year,basic,yes,31.16
False,1,0,10,month-to-month,premium,yes,57.0
False,0,0,13,one-year,basic,yes,60.13
False,0,2,34,one-year,basic,no,75.25
False,1,4,20,one-year,plus,no,55.31
False,0,1,10,two-year,premium,no,41.31
False,0,2,36,month-to-month,plus,yes,61.52
False,0,3,64,month-to-month,plus,yes,58.5
False,1,1,16,one-year,basic,yes,72.75
False,1,2,23,month-to-month,basic,yes,61.16
False,1,0,15,month-to-month,plus,no,63.64
False,0,3,8,month-to-month,plus,yes,84.15
False,0,2,16,one-year,basic,no,36.7
False,0,1,55,month-to-month,plus,yes,100.98
False,1,3,19,one-year,premium,yes,54.88
False,0,0,6,month-to-month,plus,no,42.08
False,2,2,10,two-year,plus,no,44.92
False,1,4,30,two-year,plus,yes,52.25
True,2,2,35,one-year,basic,yes,75.06
False,1,2,24,month-to-month,plus,no,64.97
False,0,4,33,one-year,basic,yes,58.8
False,0,1,16,two-year,basic,yes,45.18
False,0,0,72,month-to-month,premium,yes,64.27
False,1,2,45,two-year,premium,no,59.61
False,0,1,42,month-to-month,plus,yes,58.51
False,0,1,24,month-to-month,premium,no,94.73
False,0,1,44,one-year,plus,no,70.09
False,1,3,5,one-year,basic,yes,86.68
False,0,2,22,two-year,basic,yes,75.03
False,0,0,34,one-year,plus,yes,83.94
False,1,3,8,month-to-month,plus,yes,63.07
True,0,1,12,two-year,premium,no,25.0
False,0,0,27,month-to-month,basic,no,51.8
False,0,1,22,month-to-month,premium,yes,33.05
False,1,0,72,month-to-month,plus,yes,51.79
False,1,3,29,month-to-month,premium,no,26.05
False,0,1,49,month-to-month,plus,yes,65.83
False,0,0,18,one-year,basic,yes,65.42
False,1,1,43,one-year,basic,yes,59.95
False,0,1,10,two-year,basic,yes,87.93
False,0,0,45,month-to-month,basic,yes,68.98
False,1,0,28,month-to-month,premium,no,56.14
False,1,0,13,month-to-month,premium,no,51.28
False,0,2,7,two-year,plus,no,50.93
False,0,3,29,month-to-month,basic,no,52.32
False,0,1,6,one-year,premium,yes,60.35
False,2,2,31,month-to-month,basic,no,99.45
False,0,2,72,two-year,premium,no,58.19
False,0,2,27,month-to-month,premium,yes,46.38
False,0,4,11,month-to-month,basic,yes,74.01
False,0,0,27,one-year,plus,no,54.57
False,0,2,33,one-year,plus,no,74.66
False,0,2,35,month-to-month,plus,no,82.01
False,0,4,4,month-to-month,basic,yes,78.61
False,1,3,4,month-to-month,basic,no,41.21
False,1,0,55,month-to-month,plus,yes,38.75
False,1,1,15,month-to-month,basic,no,48.71
False,2,1,11,month-to-month,premium,yes,61.71
False,0,0,9,month-to-month,plus,no,50.17
False,0,1,17,one-year,plus,no,32.77
False,0,2,14,month-to-month,basic,yes,62.5
False,1,4,36,month-to-month,plus,no,60.03
False,2,1,11,two-year,plus,yes,50.16
False,1,3,9,one-year,basic,yes,45.52
False,1,2,28,month-to-month,plus,yes,66.28
False,2,1,6,month-to-month,basic,no,76.25
False,2,1,27,one-year,plus,yes,64.09
False,3,3,56,one-year,plus,yes,67.17
False,1,1,5,two-year,plus,yes,104.8
